theta, Cp
0.471074, -0.625363
0.486606, -0.625518
0.503107, -0.630576
0.520661, -0.637288
0.539359, -0.645422
0.559302, -0.656635
0.580603, -0.675848
0.603383, -0.692846
0.627776, -0.712482
0.653926, -0.740647
0.68199, -0.763509
0.712137, -0.791503
0.743924, -0.821141
0.776347, -0.851657
0.809056, -0.882602
0.842326, -0.914163
0.876503, -0.944659
0.91201, -0.972894
0.949355, -0.993142
0.989145, -0.999666
1.03209, -0.995974
1.07905, -0.987009
1.13097, -0.975009
1.18897, -0.965959
1.25266, -0.957946
1.32005, -0.953359
1.38984, -0.95125
1.46146, -0.949232
1.53422, -0.949633
